year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2023,Q2,2023Q2,الجوف,Al Jouf,104.8,4.2,10.2
2023,Q3,2023Q3,عام (المملكة),Kingdom (General),99.98,-0.2,2.5
2023,Q3,2023Q3,الرياض,Riyadh,99.66,-0.3,6.8
2023,Q3,2023Q3,مكة المكرمة,Makkah,99.92,-0.7,-2.7
2023,Q3,2023Q3,المدينة المنورة,Madinah,100.77,-2.1,3.2
2023,Q3,2023Q3,القصيم,Al Qaseem,100.62,2.3,-3.3
2023,Q3,2023Q3,المنطقة الشرقية,Eastern Province,100.4,0.2,-2.2
2023,Q3,2023Q3,عسير,Aseer,101.79,1.2,5.4
2023,Q3,2023Q3,تبوك,Tabouk,103.71,4.0,10.8
2023,Q3,2023Q3,حائل,Hail,96.35,-3.3,-2.5
2023,Q3,2023Q3,الحدود الشمالية,Northern Borders,100.06,1.6,-3.4
2023,Q3,2023Q3,جازان,Jazan,101.6,4.0,4.3
2023,Q3,2023Q3,نجران,Najran,98.47,-6.3,10.7
2023,Q3,2023Q3,الباحة,Al Baha,93.07,-12.1,-0.3
2023,Q3,2023Q3,الجوف,Al Jouf,97.26,-7.2,-0.8
2023,Q4,2023Q4,عام (المملكة),Kingdom (General),100.59,0.6,3.5
2023,Q4,2023Q4,الرياض,Riyadh,102.84,3.2,7.5
2023,Q4,2023Q4,مكة المكرمة,Makkah,98.76,-1.2,-1.8
2023,Q4,2023Q4,المدينة المنورة,Madinah,97.23,-3.5,-1.1
2023,Q4,2023Q4,القصيم,Al Qaseem,99.32,-1.3,-1.4
2023,Q4,2023Q4,المنطقة الشرقية,Eastern Province,98.37,-2.0,2.0
2023,Q4,2023Q4,عسير,Aseer,95.52,-6.2,-2.9
2023,Q4,2023Q4,تبوك,Tabouk,101.09,-2.5,9.7
2023,Q4,2023Q4,حائل,Hail,102.27,6.1,0.5
2023,Q4,2023Q4,الحدود الشمالية,Northern Borders,102.51,2.4,0.8
2023,Q4,2023Q4,جازان,Jazan,100.95,-0.6,3.4
2023,Q4,2023Q4,نجران,Najran,98.28,-0.2,8.0
2023,Q4,2023Q4,الباحة,Al Baha,99.73,7.2,-2.3
2023,Q4,2023Q4,الجوف,Al Jouf,97.5,0.2,2.2
2024,Q1,2024Q1,عام (المملكة),Kingdom (General),100.59,0.0,1.4
2024,Q1,2024Q1,الرياض,Riyadh,103.82,1.0,6.3
2024,Q1,2024Q1,مكة المكرمة,Makkah,98.58,-0.2,-2.1
2024,Q1,2024Q1,المدينة المنورة,Madinah,99.92,2.8,0.7
2024,Q1,2024Q1,القصيم,Al Qaseem,96.8,-2.5,-4.8
2024,Q1,2024Q1,المنطقة الشرقية,Eastern Province,96.79,-1.6,-4.3
2024,Q1,2024Q1,عسير,Aseer,91.52,-4.2,-10.5
